rowid,species,Genus,species_epithet,family,algphyto,macvascu,detritus,invlvfsh,fshcrcrb,maxtl,matuage,longevity,fecundity,muck,claysilt,sand,gravel,cobble,boulder,bedrock,vegetat,debrdetr,lwd,potanadr
1,Agonostomus monticola,Agonostomus,monticola,Mugilidae,TRUE,TRUE,FALSE,TRUE,FALSE,36,2.6,10.5,397946,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
2,Agosia chrysogaster,Agosia,chrysogaster,Cyprinidae,TRUE,FALSE,TRUE,TRUE,FALSE,10,1,3,2500,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
3,Ambloplites rupestris,Ambloplites,rupestris,Centrarchidae,FALSE,FALSE,FALSE,TRUE,TRUE,43,3,8,11000,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
4,Ameiurus melas,Ameiurus,melas,Ictaluridae,TRUE,TRUE,TRUE,TRUE,TRUE,66,2.5,5.5,5495,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
5,Ameiurus natalis,Ameiurus,natalis,Ictaluridae,TRUE,TRUE,TRUE,TRUE,TRUE,47,2.5,7,7000,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
6,Ameiurus nebulosus,Ameiurus,nebulosus,Ictaluridae,TRUE,TRUE,TRUE,TRUE,TRUE,55,2.5,11,13000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7,Anguilla rostrata,Anguilla,rostrata,Anguillidae,FALSE,FALSE,FALSE,TRUE,TRUE,152,10,43,19920000,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
8,Awaous banana,Awaous,banana,Gobiidae,TRUE,TRUE,FALSE,FALSE,FALSE,30,3.1,12.3,3000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
9,Campostoma anomalum,Campostoma,anomalum,Cyprinidae,TRUE,FALSE,TRUE,TRUE,FALSE,22,2.5,5,4800,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
10,Catostomus commersonii,Catostomus,commersonii,Catostomidae,TRUE,TRUE,TRUE,TRUE,FALSE,64,3,8,50000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
11,Chrosomus erythrogaster,Chrosomus,erythrogaster,Cyprinidae,TRUE,TRUE,TRUE,TRUE,FALSE,12,1,3.5,1500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
12,Chrosomus neogaeus,Chrosomus,neogaeus,Cyprinidae,TRUE,FALSE,FALSE,TRUE,TRUE,10.7,2,7,5850,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
13,Clinostomus funduloides,Clinostomus,funduloides,Cyprinidae,TRUE,FALSE,FALSE,TRUE,FALSE,11,2,4,560,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
14,Cottus bairdii,Cottus,bairdii,Cottidae,FALSE,TRUE,FALSE,TRUE,TRUE,15,2,6,176,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
15,Cottus caeruleomentum,Cottus,caeruleomentum,Cottidae,FALSE,FALSE,FALSE,TRUE,FALSE,6.3,1.9,5.6,176,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
16,Cottus carolinae,Cottus,carolinae,Cottidae,FALSE,FALSE,FALSE,TRUE,TRUE,18,2,5,475,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
17,Cottus cognatus,Cottus,cognatus,Cottidae,FALSE,TRUE,FALSE,TRUE,TRUE,12.1,3,7,1420,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
18,Cottus girardi,Cottus,girardi,Cottidae,FALSE,FALSE,FALSE,TRUE,TRUE,14,2,5,134,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
19,Culaea inconstans,Culaea,inconstans,Gasterosteidae,TRUE,FALSE,FALSE,TRUE,FALSE,8.7,1,2.5,250,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
20,Cyprinella lutrensis,Cyprinella,lutrensis,Cyprinidae,TRUE,FALSE,FALSE,TRUE,FALSE,9,1.5,3,1200,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,Cyprinella venusta,Cyprinella,venusta,Cyprinidae,FALSE,TRUE,TRUE,TRUE,FALSE,19,1,3.5,459,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,Cyprinus carpio,Cyprinus,carpio,Cyprinidae,TRUE,TRUE,TRUE,TRUE,FALSE,120,2,17,2.00E+06,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
23,Erimyzon oblongus,Erimyzon,oblongus,Catostomidae,TRUE,FALSE,TRUE,TRUE,FALSE,36,2,5.5,83013,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
24,Esox americanus,Esox,americanus,Esocidae,FALSE,FALSE,FALSE,TRUE,TRUE,37.6,2.5,7,4584,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
25,Esox americanus americanus,Esox,americanus,Esocidae,FALSE,FALSE,FALSE,TRUE,TRUE,37.6,2.5,7,4584,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
26,Etheostoma exile,Etheostoma,exile,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,7.2,1,3.5,962,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
27,Etheostoma lachneri,Etheostoma,lachneri,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,5,1.5,3,300,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
28,Etheostoma microperca,Etheostoma,microperca,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,4.4,1,2,900,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
29,Etheostoma nigrum,Etheostoma,nigrum,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,7.2,1,4,600,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
30,Etheostoma pseudovulatum,Etheostoma,pseudovulatum,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,6.1,1.1,3.2,350,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
31,Etheostoma radiosum,Etheostoma,radiosum,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,8.5,1,4,1222,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,Etheostoma spectabile,Etheostoma,spectabile,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,7.2,1,4,1200,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,Etheostoma stigmaeum,Etheostoma,stigmaeum,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,6.1,1,3,440,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,Etheostoma swaini,Etheostoma,swaini,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,7.8,1,3,90,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
35,Etheostoma tennesseense,Etheostoma,tennesseense  ,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,3,240,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
36,Fundulus notatus,Fundulus,notatus,Fundulidae,FALSE,FALSE,FALSE,TRUE,FALSE,8,1,3,170,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
37,Fundulus olivaceus,Fundulus,olivaceus,Fundulidae,TRUE,FALSE,FALSE,TRUE,FALSE,9.7,1,3,239,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
38,Fundulus zebrinus,Fundulus,zebrinus,Fundulidae,TRUE,FALSE,FALSE,TRUE,FALSE,10,1,2.5,250,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,Gambusia affinis,Gambusia,affinis,Poeciliidae,TRUE,FALSE,FALSE,TRUE,FALSE,4,0.3,1,315,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
40,Hypentelium etowanum,Hypentelium,etowanum,Catostomidae,TRUE,FALSE,TRUE,TRUE,FALSE,23,3,6,2717,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
41,Hypentelium nigricans,Hypentelium,nigricans,Catostomidae,TRUE,TRUE,TRUE,TRUE,FALSE,61,3,11,30000,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
42,Ichthyomyzon gagei,Ichthyomyzon,gagei,Petromyzontidae,TRUE,FALSE,TRUE,FALSE,FALSE,17,4,5,3264,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
43,Lampetra aepyptera,Lampetra,aepyptera,Petromyzontidae,FALSE,FALSE,FALSE,FALSE,FALSE,18,5,6,3000,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
44,Lepomis auritus,Lepomis,auritus,Centrarchidae,FALSE,FALSE,FALSE,TRUE,TRUE,30.5,2,6,10000,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
45,Lepomis cyanellus,Lepomis,cyanellus,Centrarchidae,FALSE,FALSE,FALSE,TRUE,TRUE,31,2,8,10000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
46,Lepomis gibbosus,Lepomis,gibbosus,Centrarchidae,FALSE,TRUE,FALSE,TRUE,TRUE,40,2,8,14000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
47,Lepomis macrochirus,Lepomis,macrochirus,Centrarchidae,TRUE,TRUE,FALSE,TRUE,TRUE,41,2,10,50000,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
48,Lepomis megalotis,Lepomis,megalotis,Centrarchidae,FALSE,TRUE,FALSE,TRUE,TRUE,24,2,7,22119,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
49,Lota lota,Lota,lota,Lotidae,FALSE,FALSE,FALSE,TRUE,TRUE,152,3,20,1362000,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
50,Luxilus chrysocephalus,Luxilus,chrysocephalus,Cyprinidae,TRUE,TRUE,TRUE,TRUE,TRUE,18,2,6,1150,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
51,Luxilus cornutus,Luxilus,cornutus,Cyprinidae,TRUE,TRUE,TRUE,TRUE,TRUE,18,2,6,1950,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
52,Lythrurus bellus,Lythrurus,bellus,Cyprinidae,FALSE,TRUE,FALSE,TRUE,FALSE,7.5,1.5,3,1000,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
53,Lythrurus umbratilis,Lythrurus,umbratilis,Cyprinidae,TRUE,FALSE,FALSE,TRUE,FALSE,8.5,1,2.5,877,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,Micropterus dolomieu,Micropterus,dolomieu,Centrarchidae,FALSE,FALSE,FALSE,TRUE,TRUE,69,3.5,15,27000,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,Micropterus punctulatus,Micropterus,punctulatus,Centrarchidae,FALSE,FALSE,FALSE,TRUE,TRUE,63.5,2.5,7,47000,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
56,Micropterus salmoides,Micropterus,salmoides,Centrarchidae,FALSE,FALSE,FALSE,TRUE,TRUE,97,2.5,16,109314,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
57,Moxostoma carinatum,Moxostoma,carinatum,Catostomidae,FALSE,FALSE,FALSE,TRUE,FALSE,77,3,10,23085,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
58,Moxostoma erythrurum,Moxostoma,erythrurum,Catostomidae,TRUE,FALSE,TRUE,TRUE,FALSE,78,3.5,8,23350,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
59,Moxostoma poecilurum,Moxostoma,poecilurum,Catostomidae,TRUE,FALSE,TRUE,TRUE,FALSE,51,3.5,9.5,17252,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
60,Nocomis asper,Nocomis,asper,Cyprinidae,TRUE,TRUE,FALSE,TRUE,FALSE,22,2,4,800,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
61,Nocomis leptocephalus,Nocomis,leptocephalus,Cyprinidae,TRUE,TRUE,TRUE,TRUE,TRUE,26,1.5,2.5,800,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
62,Notemigonus crysoleucas,Notemigonus,crysoleucas,Cyprinidae,TRUE,TRUE,FALSE,TRUE,FALSE,30,1,8,4700,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
63,Notropis ammophilus,Notropis,ammophilus,Cyprinidae,FALSE,FALSE,FALSE,TRUE,FALSE,6,1,2,323,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
64,Notropis atherinoides,Notropis,atherinoides,Cyprinidae,TRUE,TRUE,TRUE,TRUE,FALSE,13,1,3,8733,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
65,Notropis baileyi,Notropis,baileyi,Cyprinidae,TRUE,TRUE,TRUE,TRUE,FALSE,9,1,2,400,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
66,Notropis boops,Notropis,boops,Cyprinidae,TRUE,FALSE,TRUE,TRUE,FALSE,9,1.5,3,800,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
67,Notropis stilbius,Notropis,stilbius,Cyprinidae,TRUE,FALSE,FALSE,TRUE,FALSE,9,1.5,3,1500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
68,Notropis stramineus,Notropis,stramineus,Cyprinidae,TRUE,TRUE,TRUE,TRUE,FALSE,8.1,1,3,2660,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
69,Notropis suttkusi        ,Notropis,suttkusi        ,Cyprinidae,FALSE,FALSE,FALSE,TRUE,FALSE,4.4,0.8,2.1,1500,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
70,Notropis telescopus,Notropis,telescopus,Cyprinidae,FALSE,FALSE,FALSE,TRUE,FALSE,9.4,1.5,3,1000,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
71,Notropis texanus,Notropis,texanus,Cyprinidae,TRUE,TRUE,TRUE,TRUE,FALSE,8.6,1,3.5,2000,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
72,Notropis volucellus,Notropis,volucellus,Cyprinidae,TRUE,TRUE,TRUE,TRUE,FALSE,7.6,1,3,1000,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
73,Notropis xaenocephalus,Notropis,xaenocephalus,Cyprinidae,TRUE,FALSE,FALSE,TRUE,FALSE,7.9,1.5,3,500,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
74,Noturus exilis,Noturus,exilis,Ictaluridae,FALSE,FALSE,FALSE,TRUE,FALSE,15,2.5,5,150,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
75,Noturus funebris,Noturus,funebris,Ictaluridae,FALSE,FALSE,FALSE,TRUE,TRUE,15,2,4,192,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
76,Noturus gyrinus,Noturus,gyrinus,Ictaluridae,FALSE,TRUE,FALSE,TRUE,TRUE,13,1.5,4,400,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
77,Noturus leptacanthus,Noturus,leptacanthus,Ictaluridae,FALSE,FALSE,FALSE,TRUE,FALSE,9.4,1,2.5,45,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
78,Noturus nocturnus,Noturus,nocturnus,Ictaluridae,FALSE,FALSE,FALSE,TRUE,FALSE,15,1.5,4.5,154,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
79,Oncorhynchus clarki      ,Oncorhynchus,clarki,Salmonidae,FALSE,FALSE,FALSE,TRUE,TRUE,99,3,5,2700,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
80,Oncorhynchus clarkii,Oncorhynchus,clarki,Salmonidae,FALSE,FALSE,FALSE,TRUE,TRUE,99,3,5,2700,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
81,Oncorhynchus clarkii utah,Oncorhynchus,clarki,Salmonidae,FALSE,FALSE,FALSE,TRUE,TRUE,99,3,5,2700,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
82,Oncorhynchus mykiss,Oncorhynchus,mykiss,Salmonidae,FALSE,FALSE,FALSE,TRUE,TRUE,120,4,7,27000,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
83,Perca flavescens,Perca,flavescens,Percidae,FALSE,FALSE,FALSE,TRUE,TRUE,50,4,12,1.00E+05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
84,Percina caprodes,Percina,caprodes,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,18,1.5,4,3085,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
85,Percina copelandi,Percina,copelandi,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,7,1,4,700,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
86,Percina nigrofasciata,Percina,nigrofasciata,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,11,1,2.5,250,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
87,Percina sciera,Percina,sciera,Percidae,FALSE,FALSE,FALSE,TRUE,FALSE,13,1,4,2000,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
88,Phenacobius mirabilis,Phenacobius,mirabilis,Cyprinidae,FALSE,FALSE,TRUE,TRUE,FALSE,12,2,4.5,2000,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
89,Phoxinus erythrogaster,Phoxinus,erythrogaster,Cyprinidae,TRUE,TRUE,TRUE,TRUE,FALSE,12,1,3.5,1500,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
90,Pimephales notatus,Pimephales,notatus,Cyprinidae,TRUE,FALSE,TRUE,TRUE,FALSE,11,1,3.5,4195,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
91,Pimephales promelas,Pimephales,promelas,Cyprinidae,TRUE,FALSE,TRUE,TRUE,FALSE,10,0.5,2,10164,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
92,Pimephales vigilax,Pimephales,vigilax,Cyprinidae,TRUE,TRUE,TRUE,TRUE,FALSE,7,1,5,700,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
93,Poecilia reticulata,Poecilia,reticulata,Poeciliidae,FALSE,FALSE,FALSE,TRUE,FALSE,5,0.2,2,100,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
94,Pomoxis nigromaculatus,Pomoxis,nigromaculatus,Centrarchidae,FALSE,FALSE,FALSE,TRUE,TRUE,49,2.5,8,188000,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
95,Prosopium cylindraceum,Prosopium,cylindraceum,Salmonidae,FALSE,FALSE,FALSE,TRUE,FALSE,55,4,13,11888,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
96,Pylodictis olivaris,Pylodictis,olivaris,Ictaluridae,FALSE,FALSE,FALSE,TRUE,TRUE,155,4.5,23,1.00E+05,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
97,Rhinichthys atratulus,Rhinichthys,atratulus,Cyprinidae,TRUE,FALSE,TRUE,TRUE,TRUE,10,1.5,3.5,2674,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
98,Rhinichthys cataractae,Rhinichthys,cataractae,Cyprinidae,TRUE,FALSE,FALSE,TRUE,FALSE,22.5,2.5,5,10000,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
99,Salmo salar,Salmo,salar,Salmonidae,FALSE,FALSE,FALSE,TRUE,TRUE,75,4,9,20000,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
100,Salmo trutta,Salmo,trutta,Salmonidae,FALSE,FALSE,FALSE,TRUE,TRUE,140,4,18,7500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
101,Salvelinus fontinalis,Salvelinus,fontinalis,Salmonidae,FALSE,FALSE,FALSE,TRUE,TRUE,86,4,15,6811,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
102,Salvelinus namaycush,Salvelinus,namaycush,Salmonidae,FALSE,FALSE,FALSE,TRUE,TRUE,125,8,20,11500,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
103,Semotilus atromaculatus,Semotilus,atromaculatus,Cyprinidae,TRUE,TRUE,FALSE,TRUE,TRUE,30,2,5,7157,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
104,Semotilus thoreauianus,Semotilus,thoreauianus,Cyprinidae,TRUE,FALSE,TRUE,TRUE,TRUE,15,2,5,7157,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
105,Sicydium plumieri         ,Sicydium,plumieri         ,Gobiidae,TRUE,FALSE,FALSE,FALSE,FALSE,11,1.2,4,500,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
106,Sicydium punctatum,Sicydium,punctatum,Gobiidae,TRUE,FALSE,FALSE,FALSE,FALSE,10,1.1,3.6,500,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
107,Thymallus arcticus,Thymallus,arcticus,Salmonidae,FALSE,FALSE,FALSE,TRUE,TRUE,75.7,6,12,15905,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
108,Umbra limi,Umbra,limi,Umbridae,FALSE,TRUE,FALSE,TRUE,TRUE,14,1,4,1500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
109,Xiphophorus hellerii,Xiphophorus,hellerii,Poeciliidae,TRUE,FALSE,FALSE,TRUE,FALSE,14,0.85,5,150,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE